"","ticker","date","marcap"
"1","LUV",2012-12-31,13126200000
"2","LUV",2011-12-31,7571700000
"3","LUV",2010-12-31,6539600000
"4","LUV",2009-12-31,9779500000
"5","LUV",2008-12-31,8614600000
"6","LUV",2007-12-31,5969700000
"7","LUV",2006-12-31,9129100000
"8","LUV",2005-12-31,12268400000
"9","LUV",2004-12-31,13121900000
"10","LUV",2003-12-31,12379800000
"11","LUV",2002-12-31,12689500000
"12","LUV",2001-12-31,10806300000
"13","LUV",2000-12-31,14187500000
"14","LUV",1999-12-31,16034100000
"15","DAL",2012-12-31,23244300000
"16","DAL",2011-12-31,9788200000
"17","DAL",2010-12-31,7082100000
"18","DAL",2009-12-31,9806300000
"19","DAL",2008-12-31,9206100000
"20","DAL",2007-12-31,3230400000
"21","DAL",2006-12-31,3880600000
"22","DAL",2003-12-31,962700000
"23","DAL",2002-12-31,1472600000
"24","DAL",2001-12-31,1572600000
"25","DAL",2000-12-31,3455900000
"26","DAL",1999-12-31,5948200000
"27","JBLU",2012-12-31,2411200000
"28","JBLU",2011-12-31,1614800000
"29","JBLU",2010-12-31,1.572e+09
"30","JBLU",2009-12-31,1951200000
"31","JBLU",2008-12-31,1660500000
"32","JBLU",2007-12-31,1789400000
"33","JBLU",2006-12-31,1097800000
"34","JBLU",2005-12-31,2526700000
"35","JBLU",2004-12-31,2454500000
"36","JBLU",2003-12-31,2405600000
"37","JBLU",2002-12-31,2712300000
"38","JBLU",2001-12-31,1855400000
"39","ALK",2012-12-31,5.095e+09
"40","ALK",2011-12-31,3035300000
"41","ALK",2010-12-31,2721500000
"42","ALK",2009-12-31,2095800000
"43","ALK",2008-12-31,1.274e+09
"44","ALK",2007-12-31,1032300000
"45","ALK",2006-12-31,1045300000
"46","ALK",2005-12-31,1622900000
"47","ALK",2004-12-31,977400000
"48","ALK",2003-12-31,867600000
"49","ALK",2002-12-31,735200000
"50","ALK",2001-12-31,635100000
"51","ALK",2000-12-31,749200000
"52","ALK",1999-12-31,816500000
"53","LCC",2011-12-31,2.128e+09
"54","LCC",2010-12-31,9.24e+08
"55","LCC",2009-12-31,1.667e+09
"56","LCC",2008-12-31,832900000
"57","LCC",2007-12-31,872900000
"58","LCC",2006-12-31,1.39e+09
"59","LCC",2005-12-31,4919900000
"60","LCC",2004-12-31,0
"61","UAL",2012-12-31,13689600000
"62","UAL",2011-12-31,7709300000
"63","UAL",2010-12-31,6.703e+09
"64","UAL",2009-12-31,4113300000
"65","UAL",2001-12-31,8.8e+07
"66","UAL",2000-12-31,6.97e+08
"67","UAL",1999-12-31,2181700000
"68","BBT",2012-12-31,26307800000
"69","BBT",2011-12-31,20328700000
"70","BBT",2010-12-31,17664500000
"71","BBT",2009-12-31,18372400000
"72","BBT",2008-12-31,17612400000
"73","BBT",2007-12-31,14331100000
"74","BBT",2006-12-31,17111800000
"75","BBT",2005-12-31,23934700000
"76","BBT",2004-12-31,23319600000
"77","BBT",2003-12-31,23386800000
"78","BBT",2002-12-31,2.0918e+10
"79","BBT",2001-12-31,17901200000
"80","BBT",2000-12-31,16429700000
"81","BBT",1999-12-31,15154300000
"82","AMZN",2012-12-31,182539700000
"83","AMZN",2011-12-31,112484400000
"84","AMZN",2010-12-31,81458600000
"85","AMZN",2009-12-31,82957200000
"86","AMZN",2008-12-31,6.0161e+10
"87","AMZN",2007-12-31,22067800000
"88","AMZN",2006-12-31,39113800000
"89","AMZN",2005-12-31,16526300000
"90","AMZN",2004-12-31,19896800000
"91","AMZN",2003-12-31,18185100000
"92","AMZN",2002-12-31,21014100000
"93","AMZN",2001-12-31,8489700000
"94","AMZN",2000-12-31,4126600000
"95","AMZN",1999-12-31,5876900000
"96","AET",2012-12-31,25206800000
"97","AET",2011-12-31,15467300000
"98","AET",2010-12-31,15372400000
"99","AET",2009-12-31,12295100000
"100","AET",2008-12-31,1.4635e+10
"101","AET",2007-12-31,12126900000
"102","AET",2006-12-31,29548700000
"103","AET",2005-12-31,23786600000
"104","AET",2004-12-31,27832500000
"105","AET",2003-12-31,19323100000
"106","AET",2002-12-31,10019200000
"107","AET",2001-12-31,6405500000
"108","AET",2000-12-31,4731300000
"109","AET",1999-12-31,5376400000
"110","CI",2012-12-31,24180500000
"111","CI",2011-12-31,15376800000
"112","CI",2010-12-31,11644600000
"113","CI",2009-12-31,10008900000
"114","CI",2008-12-31,9980900000
"115","CI",2007-12-31,4193500000
"116","CI",2006-12-31,15422200000
"117","CI",2005-12-31,14646400000
"118","CI",2004-12-31,14527500000
"119","CI",2003-12-31,1.1297e+10
"120","CI",2002-12-31,7832200000
"121","CI",2001-12-31,6437200000
"122","CI",2000-12-31,13122700000
"123","CI",1999-12-31,18842500000
"124","MAR",2012-12-31,14815300000
"125","MAR",2011-12-31,11580300000
"126","MAR",2010-12-31,9866100000
"127","MAR",2009-12-31,15356600000
"128","MAR",2008-12-31,9948900000
"129","MAR",2007-12-31,6392100000
"130","MAR",2006-12-31,12404600000
"131","MAR",2005-12-31,19018300000
"132","MAR",2004-12-31,13964900000
"133","MAR",2003-12-31,14210500000
"134","MAR",2002-12-31,10870300000
"135","MAR",2001-12-31,8457800000
"136","MAR",2000-12-31,10351800000
"137","MAR",1999-12-31,10754400000
"138","MAR",2012-12-31,14815300000
"139","MAR",2011-12-31,11580300000
"140","MAR",2010-12-31,9866100000
"141","MAR",2009-12-31,15356600000
"142","MAR",2008-12-31,9948900000
"143","MAR",2007-12-31,6392100000
"144","MAR",2006-12-31,12404600000
"145","MAR",2005-12-31,19018300000
"146","MAR",2004-12-31,13964900000
"147","MAR",2003-12-31,14210500000
"148","MAR",2002-12-31,10870300000
"149","MAR",2001-12-31,8457800000
"150","MAR",2000-12-31,10351800000
"151","MAR",1999-12-31,10754400000
"152","TRV",2012-12-31,32962700000
"153","TRV",2011-12-31,27435200000
"154","TRV",2010-12-31,24433600000
"155","TRV",2009-12-31,25718900000
"156","TRV",2008-12-31,26945700000
"157","TRV",2007-12-31,24696100000
"158","TRV",2006-12-31,35537100000
"159","CHTR",2012-12-31,14241200000
"160","CHTR",2011-12-31,7444500000
"161","CHTR",2010-12-31,5999500000
"162","CHTR",2009-12-31,4413500000
"163","CHTR",2007-12-31,45300000
"164","CHTR",2006-12-31,483900000
"165","CHTR",2005-12-31,1293100000
"166","CHTR",2004-12-31,432300000
"167","CHTR",2003-12-31,667600000
"168","CHTR",2002-12-31,1196800000
"169","CHTR",2001-12-31,380200000
"170","CHTR",2000-12-31,4885400000
"171","CHTR",1999-12-31,5287100000
"172","CMCSA",2011-12-31,98292100000
"173","CMCSA",2010-12-31,6.4388e+10
"174","CMCSA",2009-12-31,61940500000
"175","CMCSA",2008-12-31,48843600000
"176","CMCSA",2007-12-31,44319800000
"177","CMCSA",2006-12-31,56638500000
"178","CMCSA",2005-12-31,88864900000
"179","CMCSA",2004-12-31,56828200000
"180","CMCSA",2003-12-31,73256400000
"181","CMCSA",2002-12-31,30264100000
"182","CMCSA",2001-12-31,26882700000
"183","CMCSA",2000-12-31,33648900000
"184","CMCSA",1999-12-31,9.13e+08
"185","TWC",2012-12-31,38196100000
"186","TWC",2011-12-31,29183500000
"187","TWC",2010-12-31,20197800000
"188","TWC",2009-12-31,23295400000
"189","TWC",2008-12-31,14596400000
"190","TWC",2007-12-31,19881900000
"191","TWC",2006-12-31,26652600000
"192","CTL",2012-12-31,18825600000
"193","CTL",2011-12-31,24277700000
"194","CTL",2010-12-31,22776900000
"195","CTL",2009-12-31,14062700000
"196","CTL",2008-12-31,10741500000
"197","CTL",2007-12-31,2658200000
"198","CTL",2006-12-31,4627200000
"199","CTL",2005-12-31,5027900000
"200","CTL",2004-12-31,4364100000
"201","CTL",2003-12-31,4627700000
"202","CTL",2002-12-31,4599200000
"203","CTL",2001-12-31,4457300000
"204","CTL",2000-12-31,4627700000
"205","CTL",1999-12-31,5362200000
"206","GPS",2013-12-31,17545900000
"207","GPS",2012-12-31,14731200000
"208","GPS",2011-12-31,9.071e+09
"209","GPS",2010-12-31,13059200000
"210","GPS",2009-12-31,14574300000
"211","GPS",2008-12-31,9156800000
"212","GPS",2007-12-31,16041900000
"213","GPS",2006-12-31,16305200000
"214","GPS",2005-12-31,15386600000
"215","GPS",2004-12-31,18736600000
"216","GPS",2003-12-31,20738500000
"217","GPS",2002-12-31,13398600000
"218","GPS",2001-12-31,1.1436e+10
"219","GPS",2000-12-31,23632600000
"220","KSS",2013-12-31,12152400000
"221","KSS",2012-12-31,9826700000
"222","KSS",2011-12-31,12522200000
"223","KSS",2010-12-31,1.6618e+10
"224","KSS",2009-12-31,16875900000
"225","KSS",2008-12-31,10219700000
"226","KSS",2007-12-31,14099500000
"227","KSS",2006-12-31,2.245e+10
"228","KSS",2005-12-31,16815900000
"229","KSS",2004-12-31,16293400000
"230","KSS",2003-12-31,15015500000
"231","KSS",2002-12-31,19639600000
"232","KSS",2001-12-31,23033500000
"233","KSS",2000-12-31,21975300000
"234","AMZN",2012-12-31,182539700000
"235","AMZN",2011-12-31,112484400000
"236","AMZN",2010-12-31,81458600000
"237","AMZN",2009-12-31,82957200000
"238","AMZN",2008-12-31,6.0161e+10
"239","AMZN",2007-12-31,22067800000
"240","AMZN",2006-12-31,39113800000
"241","AMZN",2005-12-31,16526300000
"242","AMZN",2004-12-31,19896800000
"243","AMZN",2003-12-31,18185100000
"244","AMZN",2002-12-31,21014100000
"245","AMZN",2001-12-31,8489700000
"246","AMZN",2000-12-31,4126600000
"247","AMZN",1999-12-31,5876900000
"248","COST",2013-12-31,52335700000
"249","COST",2012-12-31,4.2578e+10
"250","COST",2011-12-31,36461200000
"251","COST",2010-12-31,31169200000
"252","COST",2009-12-31,25606200000
"253","COST",2008-12-31,22390600000
"254","COST",2007-12-31,30386400000
"255","COST",2006-12-31,24946500000
"256","COST",2005-12-31,23843700000
"257","COST",2004-12-31,22697100000
"258","COST",2003-12-31,16557100000
"259","COST",2002-12-31,13878200000
"260","COST",2001-12-31,19881700000
"261","COST",2000-12-31,18232200000
"262","M",2013-12-31,19676900000
"263","M",2012-12-31,14656800000
"264","M",2011-12-31,13379800000
"265","M",2010-12-31,10794400000
"266","M",2009-12-31,7455900000
"267","M",2008-12-31,3709400000
"268","M",2007-12-31,1.0842e+10
"269","JCP",2013-12-31,2787300000
"270","JCP",2012-12-31,4278800000
"271","JCP",2011-12-31,7495500000
"272","JCP",2010-12-31,7726600000
"273","JCP",2009-12-31,6445200000
"274","JCP",2008-12-31,4091100000
"275","JCP",2007-12-31,9603700000
"276","JCP",2006-12-31,1.7469e+10
"277","JCP",2005-12-31,13063900000
"278","JCP",2004-12-31,11013800000
"279","JCP",2003-12-31,7158100000
"280","JCP",2002-12-31,6062200000
"281","JCP",2001-12-31,6885300000
"282","JCP",2000-12-31,3089800000
"283","WMT",2013-12-31,254622900000
"284","WMT",2012-12-31,2.28982e+11
"285","WMT",2011-12-31,2.03436e+11
"286","WMT",2010-12-31,191009700000
"287","WMT",2009-12-31,2.05646e+11
"288","WMT",2008-12-31,217466300000
"289","WMT",2007-12-31,191309700000
"290","WMT",2006-12-31,191770800000
"291","WMT",2005-12-31,199181300000
"292","WMT",2004-12-31,2.25422e+11
"293","WMT",2003-12-31,230562700000
"294","WMT",2002-12-31,223302400000
"295","WMT",2001-12-31,259179700000
"296","WMT",2000-12-31,2.30889e+11
"297","CHTR",2012-12-31,14241200000
"298","CHTR",2011-12-31,7444500000
"299","CHTR",2010-12-31,5999500000
"300","CHTR",2009-12-31,4413500000
"301","CHTR",2007-12-31,45300000
"302","CHTR",2006-12-31,483900000
"303","CHTR",2005-12-31,1293100000
"304","CHTR",2004-12-31,432300000
"305","CHTR",2003-12-31,667600000
"306","CHTR",2002-12-31,1196800000
"307","CHTR",2001-12-31,380200000
"308","CHTR",2000-12-31,4885400000
"309","CHTR",1999-12-31,5287100000
"310","CMCSA",2011-12-31,98292100000
"311","CMCSA",2010-12-31,6.4388e+10
"312","CMCSA",2009-12-31,61940500000
"313","CMCSA",2008-12-31,48843600000
"314","CMCSA",2007-12-31,44319800000
"315","CMCSA",2006-12-31,56638500000
"316","CMCSA",2005-12-31,88864900000
"317","CMCSA",2004-12-31,56828200000
"318","CMCSA",2003-12-31,73256400000
"319","CMCSA",2002-12-31,30264100000
"320","CMCSA",2001-12-31,26882700000
"321","CMCSA",2000-12-31,33648900000
"322","CMCSA",1999-12-31,9.13e+08
"323","TWC",2012-12-31,38196100000
"324","TWC",2011-12-31,29183500000
"325","TWC",2010-12-31,20197800000
"326","TWC",2009-12-31,23295400000
"327","TWC",2008-12-31,14596400000
"328","TWC",2007-12-31,19881900000
"329","TWC",2006-12-31,26652600000
